feature,importance_mean,importance_std
Quality of Sleep,0.020824915824915937,0.012839567489042263
Stress Level,0.020707070707070778,0.015950623196895795
Daily Steps,0.013383838383838458,0.020150265144390687
Heart Rate,0.01157828282828297,0.01991283845094117
Diastolic BP,0.007765151515151581,0.013572645042498086
Systolic BP,0.006637205387205466,0.01286114372554049
Physical Activity Level,0.006060606060606147,0.01151415466179594
Gender,0.005740740740740842,0.016861922943465894
Occupation,0.004103535353535374,0.008924767252607381
Sleep Duration,-0.001325757575757495,0.010386779898679133
BMI Category,-0.0027777777777777345,0.003650715225959782
Age,-0.0033543771043769784,0.01756708042138465
