feature,importance
categorical__BMI Category_Overweight,0.15868065669204376
numeric__Systolic BP,0.12551839499057546
numeric__Diastolic BP,0.11854326621245857
categorical__BMI Category_Normal,0.11552997068502557
numeric__Age,0.07799917740493512
numeric__Sleep Duration,0.07116025909952749
numeric__Physical Activity Level,0.06871697755573355
categorical__Occupation_Nurse,0.05326521018281957
numeric__Daily Steps,0.04783532035417215
numeric__Heart Rate,0.04313193846569954
numeric__Stress Level,0.02941797309743317
numeric__Quality of Sleep,0.0245906382127372
categorical__Occupation_Teacher,0.013489708780087026
categorical__Gender_Female,0.012879485327799835
categorical__Occupation_Salesperson,0.009176574499653447
categorical__Gender_Male,0.0070159217521944366
categorical__BMI Category_Obese,0.005919550743771017
categorical__Occupation_Doctor,0.00540999953731907
categorical__Occupation_Lawyer,0.0032919715033853216
categorical__Occupation_Engineer,0.002643478359706784
categorical__Occupation_Sales Representative,0.0015134720677884717
categorical__Occupation_Scientist,0.0014188447005082502
categorical__Occupation_Accountant,0.001325715617483364
categorical__Occupation_Software Engineer,0.0013170271425569963
categorical__Occupation_Manager,0.00020846701458481637
